dataset,algorithm,frac_not_ok,n_attempted,n_scored,chi2_nu_median,rel_misfit_median,rel_misfit_median_all,frac_good,frac_overfit,frac_underfit,frac_qc_fail,frac_ok,frac_poor_fit,frac_out_of_scope,frac_fit_failed
L23,expb_pow,0.0048,3320,3304,1.0235,0.1069,0.1069,0.9422,0.0088,0.049,0.0,0.9952,0.0,0.0048,0.0
L23,giop,0.0148,3320,3271,1.0342,0.1129,0.1129,0.93,0.0076,0.0624,0.0,0.9852,0.0,0.0048,0.0099
