dataset,algorithm,frac_not_ok,n_attempted,n_scored,chi2_nu_median,rel_misfit_median,rel_misfit_median_all,frac_good,frac_overfit,frac_underfit,frac_qc_fail,frac_ok,frac_poor_fit,frac_out_of_scope,frac_fit_failed
L23,expb_pow,0.0904,177,161,1.1153,0.1128,0.1128,0.8447,0.0062,0.1491,0.0,0.9096,0.0,0.0904,0.0
L23,giop,0.0904,177,161,1.1468,0.1224,0.1224,0.7826,0.0062,0.2112,0.0,0.9096,0.0,0.0904,0.0
