dataset,algorithm,frac_not_ok,n_attempted,n_scored,chi2_nu_median,rel_misfit_median,rel_misfit_median_all,frac_good,frac_overfit,frac_underfit,frac_qc_fail,frac_ok,frac_poor_fit,frac_out_of_scope,frac_fit_failed
L23,expb_pow,0.0,2495,2495,1.0178,0.1073,0.1073,0.9459,0.0104,0.0437,0.0,1.0,0.0,0.0,0.0
L23,giop,0.0004,2495,2494,1.0348,0.1135,0.1135,0.9334,0.0076,0.0589,0.0,0.9996,0.0,0.0,0.0004
