dataset,algorithm,frac_not_ok,n_attempted,n_scored,chi2_nu_median,rel_misfit_median,rel_misfit_median_all,frac_good,frac_overfit,frac_underfit,frac_qc_fail,frac_ok,frac_poor_fit,frac_out_of_scope,frac_fit_failed
L23,expb_pow,0.0,648,648,1.0201,0.1045,0.1045,0.9522,0.0031,0.0448,0.0,1.0,0.0,0.0,0.0
L23,giop,0.0494,648,616,1.0067,0.1086,0.1086,0.9545,0.0081,0.0373,0.0,0.9506,0.0,0.0,0.0494
