dataset,algorithm,frac_not_ok,n_attempted,n_scored,chi2_nu_median,rel_misfit_median,rel_misfit_median_all,frac_good,frac_overfit,frac_underfit,frac_qc_fail,frac_ok,frac_poor_fit,frac_out_of_scope,frac_fit_failed
L23,expb_pow,0.0,648,648,1.0193,0.0328,0.0328,0.9414,0.0031,0.0556,0.0,1.0,0.0,0.0,0.0
L23,giop,0.017,648,637,1.7033,0.0428,0.0428,0.1915,0.0,0.8085,0.0,0.983,0.0,0.0,0.017
L23,gsm,0.0,648,648,1.1679,0.0357,0.0357,0.7577,0.0,0.2423,0.0,1.0,0.0,0.0,0.0
PANGAEA,expb_pow,0.8767,73,9,3.3116,0.0305,0.1495,0.4444,0.0,0.5556,0.6027,0.1233,0.6027,0.0,0.274
PANGAEA,giop,0.6438,73,26,1.0705,0.0246,0.1029,0.7308,0.0,0.2692,0.589,0.3562,0.589,0.0,0.0548
PANGAEA,gsm,0.8767,73,9,4.2182,0.0462,0.1359,0.4444,0.0,0.5556,0.8219,0.1233,0.8219,0.0,0.0548
