dataset,algorithm,frac_not_ok,n_attempted,n_scored,chi2_nu_median,rel_misfit_median,rel_misfit_median_all,frac_good,frac_overfit,frac_underfit,frac_qc_fail,frac_ok,frac_poor_fit,frac_out_of_scope,frac_fit_failed
L23,expb_pow,0.0018,3320,3314,1.045,0.0333,0.0333,0.9037,0.0081,0.0881,0.0009,0.9982,0.0006,0.0003,0.0009
L23,giop,0.0105,3320,3285,2.0851,0.0483,0.0484,0.0813,0.0,0.9187,0.0072,0.9895,0.0045,0.0027,0.0033
L23,gsm,0.0102,3320,3286,1.4476,0.0393,0.0394,0.385,0.0,0.615,0.0102,0.9898,0.0084,0.0018,0.0
PANGAEA,expb_pow,0.8048,1593,311,2.2671,0.0236,0.0669,0.6238,0.0,0.3762,0.553,0.1952,0.5304,0.0226,0.2517
PANGAEA,giop,0.7345,1593,423,2.3406,0.0337,0.0899,0.5225,0.0,0.4775,0.6466,0.2655,0.5675,0.0791,0.0879
PANGAEA,gsm,0.9661,1593,54,3.4959,0.0493,0.1313,0.2222,0.0,0.7778,0.9328,0.0339,0.8267,0.1061,0.0333
