dataset,algorithm,frac_not_ok,n_attempted,n_scored,chi2_nu_median,rel_misfit_median,rel_misfit_median_all,frac_good,frac_overfit,frac_underfit,frac_qc_fail,frac_ok,frac_poor_fit,frac_out_of_scope,frac_fit_failed
L23,expb_pow,0.0,2495,2495,1.0393,0.0332,0.0332,0.9267,0.01,0.0633,0.0,1.0,0.0,0.0,0.0
L23,giop,0.0028,2495,2488,2.2014,0.0497,0.0497,0.0434,0.0,0.9566,0.0028,0.9972,0.0028,0.0,0.0
L23,gsm,0.0028,2495,2488,1.5127,0.0398,0.0398,0.3111,0.0,0.6889,0.0028,0.9972,0.0028,0.0,0.0
PANGAEA,expb_pow,0.778,599,133,2.3133,0.0263,0.0751,0.4962,0.0,0.5038,0.6544,0.222,0.6511,0.0033,0.1235
PANGAEA,giop,0.7078,599,175,2.4069,0.0341,0.0859,0.4743,0.0,0.5257,0.6578,0.2922,0.6544,0.0033,0.0501
PANGAEA,gsm,0.9349,599,39,3.5685,0.0507,0.1255,0.1795,0.0,0.8205,0.8948,0.0651,0.8915,0.0033,0.0401
