dataset,algorithm,frac_not_ok,n_attempted,n_scored,chi2_nu_median,rel_misfit_median,rel_misfit_median_all,frac_good,frac_overfit,frac_underfit,frac_qc_fail,frac_ok,frac_poor_fit,frac_out_of_scope,frac_fit_failed
GLORIA,expb_pow,0.8636,66,9,0.6798,0.1099,0.6981,0.0,0.5556,0.4444,0.8636,0.1364,0.1818,0.6818,0.0
GLORIA,expb_pow2,0.8636,66,9,0.6843,0.1099,0.6967,0.0,0.5556,0.4444,0.8636,0.1364,0.1818,0.6818,0.0
GLORIA,expb_pow2flat,0.8636,66,9,0.6821,0.1099,0.698,0.0,0.5556,0.4444,0.8636,0.1364,0.1818,0.6818,0.0
GLORIA,expb_powflex,0.8636,66,9,0.6797,0.1099,0.6965,0.0,0.5556,0.4444,0.8636,0.1364,0.1818,0.6818,0.0
